newspaper: ,Sunstar,,,,,Date: ,January 12 2016
title: ,Mamasapano na pod,,,,,Number of Sentences:,4
Author,Nalzaro,,,,,Classification:,POSITIVE
link: ,http://www.sunstar.com.ph/superbalita-cebu/opinyon/2016/01/25/nalzaro-mamasapano-na-pod-453612,,,,,,
, ,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
TANGKOD nang usa ka tuig human mahitabo ang dugoong engkuwentro tali sa mga miyembro sa Philippine National Police/Special Action Force (PNP-SAF)  ug mga rebeldeng muslim nga sakop sa Moro Islamic Liberation Front (MILF) ug Bangsamoro Islamic Freedom Fighter (BIFF) didto sa Mamasapano  Maguindanao nga  miresulta sa kamatayon sa 44 ka mga sakop sa SAF.' ,POSITIVE,,,,,,
Aduna poy mga napatay ug naangol sa habig sa mga rebeldeng muslim og ingon man sa mga sibilyan nga napagan. Tumong sa mga SAF pagsulod sa teritoryo sa MILF  mao ang pagdakop sa international terrorist nga si Zulkifli bir hir alyas ‘Marwan’.' ,NEGATIVE,,,,,,
Karon  gi-abrihan na usab sa Senado ang imbestigasyon kabahin sa maong insidente.' ,POSITIVE,,,,,,
Kini nunot sa pamahayag ni Senador Juan Ponce Enrile nga adunay bag-ong ebedensiya nga iyang nakuha nga makapalig-on-on sa unang mga nakuhang inpormasyon  nga dili angayan basulon si Pres. Noynoy Aquino III gumikan kay wala siya mahatagi og update sa nahitabong engkuwentro.' ,NEUTRAL,,,,,,
