newspaper :, Banat News,,,,,date : ,January 13 2016
title : ,Gun Ban,,,,,Number of Sentences:,11
Author:,,,,,,Classification:,NEGATIVE
link  :, http://www.philstar.com/banat-opinyon/2016/01/13/1541910/editoryal-gun-ban,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Nindot ang tumong sa Commission on Elections nga samtang magkaduol na ang eleksyon magpatuman gyud kini og gun ban aron magpanagana ang katawhan sa pagdala-dala’g armas. 1,POSITIVE,,,,,,
Tungod niini posibleng momenos ang dugoong panghitabo. 1,POSITIVE,,,,,,
Atol sa gun ban period  gidid-an sa pagdala sa ilang armas bisan kadtong mga licensed firearm holders. ,NEGATIVE,,,,,,
Sigurado nga ang mga licensed gun holders motuman gayud sa balaod  apan sigurado usab nga ang mga badlungon sa katilingban mobaliwala ra sa gun ban. ,NEGATIVE,,,,,,
Sa ato pa  nabentahaan lang hinuon ang mga tawo nga matinumanon sa balaod kay dili na man sila makadala-dala sa ilang lisensyado nga armas atol sa gun ban  samtang ang mga kriminal adunay armas. ,NEGATIVE,,,,,,
Dili malalis nga ang mga kagubot nga naglambigit og armas nga nahitabo atol sa election campaign period gihimo sa mga tawo nga dili mga licensed gun holders. ,NEGATIVE,,,,,,
Nasayod ang kapolisan nga dili nila mabantayan ang tanang tawo sa tanang higayon ug mao man gani kini ang rason nga nagpalit sila og armas isip proteksyon sa ilang kaugalingon. ,NEGATIVE,,,,,,
Apan kay balaod na man ni angay kini nga tumanon ug unta ang kapolisan mohimo og hugtanay nga kampanya pinaagi sa pagpahigayon og mobile checkpoints aron dakpon ang mga masinupakon sa balaod. ,POSITIVE,,,,,,
Kun luya ang kapolisan pagpahigayon og checkpoint  madani ang mga badlongon sa katilingban nga padayong magdala-dala sa ilang armas ug pahimudsan ang mga ordinaryo nga sibilyan nga walay magamit sa pagsukol. ,NEGATIVE,,,,,,
Kinahanglan nga ayuhon gayud sa kapolisan ang pagpahigayon og checkpoint aron madakpan kining mga tawo nga wala mahadlok sa gipatuman nga gun ban. ,POSITIVE,,,,,,
Ang silot hinuon nga ipahamtang sa mga malapason sa gun ban mao ra ang pagkabilanggo nga dili mosubra sa unom ka tuig  apan dili mahimo nga aplayan og probation. ,NEGATIVE,,,,,,
