newspaper: ,SuperBalita,,,,,Date:,January 14 2016
title: ,Lahugay sa kapulisan,,,,,Number of Sentences:,19
Author,Nalzaro,,,,,Classification:POSITIVE,
link: ,http://www.sunstar.com.ph/superbalita-cebu/opinyon/2016/01/14/nalzaro-lahugay-sa-kapulisan-451725,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
“HALOS tanang mga city ug provincial directors ubos sa Police Regional Office (PRO 7) mga bag-o na.” ,POSITIVE,,,,,,
“Nunot kini sa revamp o lahugay nga gi-implementar sa kapulisan lukop nasud nunot sa nagsingabot nga eleksiyon karong Mayo.” ,NEUTRAL,,,,,,
“ Pero daghan ang nagduda nga kining maong revamp may kalabutan sa plano sa administrasyon nga gamiton ang kapulisan alang sa kadaugan ni Liberal Party standard bearer Mar Roxas.” ,NEUTRAL,,,,,,
“Siguraduhan sa administrasyon nga modaog si Roxas aron dili masikwati si PNoy inig kanaog niya sa puwesto.” ,NEGATIVE,,,,,,
“Kon inyong nahinumduman nga niadtong miaging 2013 elections  gigamit sa administrasyon ang kapulisan paggukod sa oposisyon labi pa sa vote buying.” ,NEGATIVE,,,,,,
“Gipangsakmit ang ilang kuwarta alang sa vote-buying samtang ang mga kandidato sa administrasyon libre ug gawasnon nga namalit og boto.” ,NEGATIVE,,,,,,
“ Mao toy nahitabo dinhi sa Cebu hinungdan nga naapeke ang One Cebu Party.” ,NEGATIVE,,,,,,
“Apil god tong tigkompra og baboy gidakop sa mga pulis kay nagdala og dakong kuwarta.” ,NEUTRAL,,,,,,
“Nanghimakak ang maong komprador nga kuwarta kadto sa pulitika.” ,NEUTRAL,,,,,,
 Pero pagdala niya sa police station  mga abogado sa One Cebu Party maoy nangabugar sa maong komprador. ,POSITIVE,,,,,,
“Didto sa akong lalawigan sa Zamboanga del Norte  mao pod ni ang gihimo sa administrasyon maoy hinungdan nga naratsada ang mga Jalosjos didto.” ,NEGATIVE,,,,,,
“Kining mga opisyal sa kapulisan nga gipangtudlo ug nanglingkod karon dinhi mga batus ni Deputy Director General Marcelo Garbo  deputy chief for administration  nga mao ang second in command karon. Si Garbo naila sa kampo ni Roxas.” ,NEUTRAL,,,,,,
“ Busa mao ni ang bantayan sa taga oposisyon kay sila maoy target nii¬ning maong plano sa administrasyon.” ,POSITIVE,,,,,,
“Dili ni angay kompiyansahan.” ,NEUTRAL,,,,,,
“Si PRO 7 chief Manuel Gaerlan nagdala pod og iyang kaugalingong mga tawo aron ibutang niya isip sakop sa iyang directorial staff labi pa sa R2 (intelligence division) ug comptrollership.” ,POSITIVE,,,,,,
“Kining mga opisyal nga ingon ani  adunay mga personal nga plano.” ,POSITIVE,,,,,,
“Nganong magdala man siya nga aduna may mga existing officer dinhi nga haom usab sa maong mga puwesto?” ,NEGATIVE,,,,,,
“Asa man ibutang unya kining maong mga opisyal?” ,NEUTRAL,,,,,,
“Ilabay sa laing lugar?” ,NEUTRAL,,,,,,
